task_type,setting,rte,mean_tqs,lj_score,llm
Entity Recognition,Original,0.129,0.129,0.267,0.267
Entity Recognition,Disturb,0.113,0.113,0.120,0.120
Entity Recognition,Oracle,0.310,0.310,0.297,0.297
Single-hop Attribute Query,Original,0.076,0.076,0.033,0.033
Single-hop Attribute Query,Disturb,0.084,0.084,0.020,0.020
Single-hop Attribute Query,Oracle,0.137,0.137,0.069,0.069
Multi-hop,Original,0.030,0.030,0.007,0.007
Multi-hop,Disturb,0.012,0.012,0.000,0.000
Multi-hop,Oracle,0.061,0.061,0.013,0.013
Comparison,Original,0.023,0.023,0.003,0.003
Comparison,Disturb,0.018,0.018,0.000,0.000
Comparison,Oracle,0.068,0.068,0.007,0.007
Subproblem Aggregation,Original,0.456,0.456,0.333,0.333
Subproblem Aggregation,Disturb,0.289,0.289,0.277,0.277
Subproblem Aggregation,Oracle,0.494,0.494,0.464,0.464
