model,setting,tqs,delta_f,iters,step_u,step_score,step_delta_f,query_len,query_sim,inf_rate
InternVL3.5-8B,Original,0.142867538193188,0.5369763478594505,1.0413333333333334,0.308177377115351,0.18232577203453684,0.4475258976323,9.781407439527822,0.8520818867892385,0.33321220564760057
InternVL3.5-8B,Disturb,0.10314878527262152,1.279410980254954,1.9680671149877254,0.17357805465824727,0.10496300673567915,0.6793727396487645,8.84244325726057,0.7436905958147595,0.19494318565234564
InternVL3.5-8B,Oracle,0.21395320341947255,0.7903841196890264,1.376221557458797,0.40748948091731685,0.22793935755614314,0.5006974345517372,5.280494607478693,0.757969405828222,0.39672201355169845
Qwen2.5-vl-7B,Original,0.30772389863920757,1.159317880212547,2.6993333333333336,0.43537027965103253,0.24876544712492063,0.4311024986873,7.259390322528952,0.8965875486437205,0.40194328230226506
Qwen2.5-vl-7B,Disturb,0.370846954420112,1.7330250609093147,3.1150028955296345,0.39765381265122335,0.27472666913438626,0.5563991250151481,7.314034569393684,0.8453744808875873,0.44571527305878156
Qwen2.5-vl-7B,Oracle,0.3736084413529165,1.4234456227423795,2.47340715640107,0.47118757645543863,0.3240654411090249,0.5845384104941768,5.923044970373193,0.7986693769761432,0.5184885679643585
Qwen3-vl-4B,Original,0.4037099758430864,1.524903471296382,2.8506666666666667,0.3816927249628929,0.2675722790171617,0.5386216324095127,7.888434405848554,0.8755992638624007,0.4561762073587437
Qwen3-vl-4B,Disturb,0.35075526638816196,1.990680341009514,3.4055681123474653,0.333827914697336,0.2395389347566006,0.5841790596509746,7.919912150198822,0.8416678347086995,0.4125957756285545
Qwen3-vl-4B,Oracle,0.3810716646772657,1.9025197938174423,3.2452764640667695,0.38958685106102114,0.2759056646363275,0.5862857285957941,6.357759282166294,0.7947508951453596,0.48045242538240535
Qwen3-vl-8B,Original,0.36016991322377345,1.7088785221931322,3.0433333333333334,0.3537610197786906,0.25129043045169325,0.5612471650387564,7.277826300585712,0.8446661227187527,0.43122316502838864
Qwen3-vl-8B,Disturb,0.3129037215624397,2.3102956993907386,3.813989515278413,0.3012049619219873,0.22149395213443454,0.6069543489678861,7.381770933377263,0.8195173151767908,0.3754999348860947
Qwen3-vl-8B,Oracle,0.31678032831107655,2.1897691505200862,3.6092446725855947,0.298121071155369,0.21888411419181256,0.6078401879691829,6.117815318995619,0.7901432043230081,0.38670366030460585
Qwen3-vl-32B,Original,0.3527124810232701,1.656063194129928,3.086,0.37422919801349414,0.2560269525755221,0.5404053046602572,6.587736939794678,0.8684497164212187,0.43386998142350613
Qwen3-vl-32B,Disturb,0.3131255405966205,2.3672843279122096,3.851993588044665,0.31407411601868856,0.23002722169888756,0.6200151095501336,7.404104095591945,0.8300386417269475,0.3962693748354048
Qwen3-vl-32B,Oracle,0.31345305754229014,2.4592406545004226,4.4151062796224085,0.2927211486175949,0.21645477949520858,0.5776086956586098,6.529341221647774,0.8006623209739168,0.35122176842575464
