model,setting,task,tqs,delta_f,iters,step_u,step_score,step_delta_f,query_len,query_sim,inf_rate,n_trajectories,n_steps
Qwen3-vl-32B,Original,Entity Recognition,0.3131534334430942,1.1952417041645451,2.2866666666666666,0.34766763848396504,0.21931879564837942,0.5227004537162734,6.737609329446064,0.8929534610812295,0.3323615160349854,300,686
Qwen3-vl-32B,Original,Single-hop Attribute Query,0.43540255285089396,1.6434923108611093,2.8633333333333333,0.39057043073341097,0.2932267803849036,0.5739786883100498,5.847497089639115,0.9099135919207466,0.44237485448195574,300,859
Qwen3-vl-32B,Original,Multi-hop,0.30444963578729467,1.910125475907304,3.65,0.25616438356164384,0.19820564581857522,0.5233220481937819,5.764383561643836,0.8742131357827555,0.3278538812785388,300,1095
Qwen3-vl-32B,Original,Comparison,0.25312551750428997,1.838591949451933,3.8,0.2324561403508772,0.1673853175766502,0.4838399866978771,6.212280701754386,0.8982454696407027,0.30350877192982456,300,1140
Qwen3-vl-32B,Original,Subproblem Aggregation,0.45743126553077756,1.692864530264749,2.83,0.6442873969375736,0.40199822344910197,0.5981853463833035,8.376914016489987,0.7669229236806594,0.7632508833922261,300,849
Qwen3-vl-32B,Disturb,Entity Recognition,0.3079153866554006,2.257985216356775,3.610169491525424,0.27699530516431925,0.20442740578522905,0.6254513040612664,9.551643192488262,0.8722891875114674,0.3568075117370892,118,426
Qwen3-vl-32B,Disturb,Single-hop Attribute Query,0.35388537409954746,2.4180411729603093,3.689075630252101,0.3194760820045558,0.2567139936670884,0.6554599079322935,6.347380410022779,0.8396472829260986,0.3917995444191344,238,878
Qwen3-vl-32B,Disturb,Multi-hop,0.27805462767721684,2.459905364380517,4.1231884057971016,0.23418277680140598,0.18764718588555387,0.5966027070026562,6.06414762741652,0.8274194603256053,0.30755711775043937,276,1138
Qwen3-vl-32B,Disturb,Comparison,0.22426190724244993,2.4409686550909875,4.536496350364963,0.21560740144810941,0.1515483623227017,0.5380735410256883,6.526950925181014,0.8618552405085285,0.2815768302493966,274,1243
Qwen3-vl-32B,Disturb,Subproblem Aggregation,0.40151040730848775,2.2595212307724584,3.301038062283737,0.5241090146750524,0.3497991608338648,0.6844880877287636,8.530398322851154,0.7489820373630378,0.6436058700209644,289,954
Qwen3-vl-32B,Oracle,Entity Recognition,0.4261879482512306,2.014955503521266,3.3225806451612905,0.3106796116504854,0.2493859493563114,0.6064429185355267,5.970873786407767,0.7779004034977441,0.3786407766990291,31,103
Qwen3-vl-32B,Oracle,Single-hop Attribute Query,0.2599064523323506,2.6424812804310904,4.285714285714286,0.275,0.1997845893612456,0.6165789654339211,6.158333333333333,0.79930727504852,0.325,28,120
Qwen3-vl-32B,Oracle,Multi-hop,0.12892141984446168,3.0235297924600912,5.851851851851852,0.1518987341772152,0.11795687659345432,0.5166791417495092,5.189873417721519,0.7903137216782172,0.2088607594936709,27,158
Qwen3-vl-32B,Oracle,Comparison,0.15920217928316596,2.5125082853182197,5.615384615384615,0.22602739726027396,0.13154859879065106,0.44743298231694323,4.410958904109589,0.8549440918509275,0.2602739726027397,13,73
Qwen3-vl-32B,Oracle,Subproblem Aggregation,0.593047288000242,2.1027284107714466,3.0,0.5,0.3835978833743806,0.7009094702571489,10.916666666666666,0.7808461127941752,0.5833333333333334,4,12
