model,setting,round,mean_step_score,ci_low,ci_high,n_items_with_this_round
Qwen2.5-vl-7B,Original,1,0.475956,0.456310,0.496373,1308
Qwen2.5-vl-7B,Original,2,0.253146,0.233032,0.273179,1037
Qwen2.5-vl-7B,Original,3,0.102616,0.086712,0.119188,821
Qwen2.5-vl-7B,Original,4,0.038800,0.026410,0.053045,518
Qwen2.5-vl-7B,Original,5,0.005987,0.001089,0.013186,365
Qwen2.5-vl-7B,Oracle,1,0.409762,0.375299,0.445583,424
Qwen2.5-vl-7B,Oracle,2,0.336512,0.296621,0.376143,301
Qwen2.5-vl-7B,Oracle,3,0.119843,0.087710,0.153590,228
Qwen2.5-vl-7B,Oracle,4,0.029285,0.010863,0.051303,141
Qwen2.5-vl-7B,Oracle,5,0.000816,0.000000,0.002449,98
Qwen2.5-vl-7B,Disturb,1,0.383589,0.360859,0.407122,1019
Qwen2.5-vl-7B,Disturb,2,0.437223,0.413700,0.461564,841
Qwen2.5-vl-7B,Disturb,3,0.212547,0.187048,0.237921,584
Qwen2.5-vl-7B,Disturb,4,0.063097,0.046555,0.081192,444
Qwen2.5-vl-7B,Disturb,5,0.021821,0.008992,0.037353,278
Qwen3-vl-4B,Original,1,0.457854,0.439018,0.477058,1447
Qwen3-vl-4B,Original,2,0.265863,0.246704,0.285848,1012
Qwen3-vl-4B,Original,3,0.171540,0.151096,0.191882,761
Qwen3-vl-4B,Original,4,0.097106,0.079635,0.115688,587
Qwen3-vl-4B,Original,5,0.051171,0.036010,0.067423,469
Qwen3-vl-4B,Oracle,1,0.350647,0.315040,0.387600,383
Qwen3-vl-4B,Oracle,2,0.347145,0.307794,0.387228,285
Qwen3-vl-4B,Oracle,3,0.239981,0.196479,0.283284,213
Qwen3-vl-4B,Oracle,4,0.103639,0.065739,0.145200,155
Qwen3-vl-4B,Oracle,5,0.034905,0.011380,0.064461,132
Qwen3-vl-4B,Disturb,1,0.255279,0.236554,0.274213,1263
Qwen3-vl-4B,Disturb,2,0.411098,0.389435,0.432268,1076
Qwen3-vl-4B,Disturb,3,0.237558,0.216289,0.259920,790
Qwen3-vl-4B,Disturb,4,0.119993,0.100612,0.140693,607
Qwen3-vl-4B,Disturb,5,0.055590,0.040631,0.071314,488
Qwen3-vl-8b,Original,1,0.399562,0.380487,0.419514,1422
Qwen3-vl-8b,Original,2,0.285299,0.265193,0.304802,1105
Qwen3-vl-8b,Original,3,0.184581,0.164957,0.204636,823
Qwen3-vl-8b,Original,4,0.115438,0.097039,0.135088,653
Qwen3-vl-8b,Original,5,0.063747,0.048997,0.079965,562
Qwen3-vl-8b,Oracle,1,0.279932,0.245043,0.316048,375
Qwen3-vl-8b,Oracle,2,0.307564,0.265452,0.349294,303
Qwen3-vl-8b,Oracle,3,0.163572,0.127459,0.202534,220
Qwen3-vl-8b,Oracle,4,0.107209,0.076364,0.142081,190
Qwen3-vl-8b,Oracle,5,0.100010,0.066604,0.137528,177
Qwen3-vl-8b,Disturb,1,0.222223,0.203727,0.241137,1184
Qwen3-vl-8b,Disturb,2,0.377750,0.355941,0.399308,1088
Qwen3-vl-8b,Disturb,3,0.248411,0.226648,0.270568,828
Qwen3-vl-8b,Disturb,4,0.148500,0.127534,0.170744,642
Qwen3-vl-8b,Disturb,5,0.069448,0.053695,0.086166,545
Qwen3-vl-32B,Original,1,0.388226,0.369667,0.406523,1477
Qwen3-vl-32B,Original,2,0.254145,0.234504,0.273263,1213
Qwen3-vl-32B,Original,3,0.185870,0.165984,0.206678,833
Qwen3-vl-32B,Original,4,0.117350,0.098570,0.136314,614
Qwen3-vl-32B,Original,5,0.087225,0.067325,0.107802,492
Qwen3-vl-32B,Oracle,1,0.197678,0.138713,0.259849,102
Qwen3-vl-32B,Oracle,2,0.194631,0.129542,0.267216,91
Qwen3-vl-32B,Oracle,3,0.143998,0.082551,0.214890,75
Qwen3-vl-32B,Oracle,4,0.236045,0.152677,0.324495,61
Qwen3-vl-32B,Oracle,5,0.178746,0.096511,0.267773,48
Qwen3-vl-32B,Disturb,1,0.247187,0.228780,0.265935,1195
Qwen3-vl-32B,Disturb,2,0.305258,0.285225,0.326620,1113
Qwen3-vl-32B,Disturb,3,0.247216,0.224534,0.268718,876
Qwen3-vl-32B,Disturb,4,0.168247,0.145959,0.191396,629
Qwen3-vl-32B,Disturb,5,0.121025,0.098306,0.143479,484
InternVL3.5-8B,Original,1,0.301047,0.278187,0.324355,768
InternVL3.5-8B,Original,2,0.198813,0.167911,0.230431,359
InternVL3.5-8B,Original,3,0.199818,0.158253,0.242736,206
InternVL3.5-8B,Original,4,0.126718,0.087313,0.171781,136
InternVL3.5-8B,Original,5,0.066153,0.031887,0.105622,93
InternVL3.5-8B,Oracle,1,0.238192,0.207131,0.268879,449
InternVL3.5-8B,Oracle,2,0.200418,0.157943,0.243997,187
InternVL3.5-8B,Oracle,3,0.134717,0.085428,0.189326,101
InternVL3.5-8B,Oracle,4,0.070153,0.027739,0.118760,77
InternVL3.5-8B,Oracle,5,0.069551,0.019658,0.134722,60
InternVL3.5-8B,Disturb,1,0.142229,0.125401,0.159482,905
InternVL3.5-8B,Disturb,2,0.180103,0.154375,0.206356,487
InternVL3.5-8B,Disturb,3,0.213233,0.173969,0.252644,200
InternVL3.5-8B,Disturb,4,0.173623,0.122094,0.228568,125
InternVL3.5-8B,Disturb,5,0.083139,0.047029,0.127148,85
