setting,round,mean_step_score,ci_low,ci_high
Original,1,0.273601,0.239501,0.308028
Original,2,0.124164,0.098381,0.151709
Original,3,0.035563,0.022965,0.049907
Original,4,0.009692,0.002908,0.018708
Original,5,0.005987,0.001089,0.013186
Oracle,1,0.241114,0.179330,0.305541
Oracle,2,0.153156,0.104834,0.205208
Oracle,3,0.057372,0.028386,0.092213
Oracle,4,0.007306,0.000000,0.018880
Oracle,5,0.000816,0.000000,0.002449
Disturb,1,0.208387,0.175196,0.242703
Disturb,2,0.257942,0.222865,0.293758
Disturb,3,0.115971,0.090615,0.143851
Disturb,4,0.049351,0.030911,0.068751
Disturb,5,0.021821,0.008992,0.037353
