setting,round,mean_step_score,ci_low,ci_high,n_items_with_this_round
Original,1,0.475956,0.456310,0.496373,1308
Original,2,0.253146,0.233032,0.273179,1037
Original,3,0.102616,0.086712,0.119188,821
Original,4,0.038800,0.026410,0.053045,518
Original,5,0.005987,0.001089,0.013186,365
Oracle,1,0.409762,0.375299,0.445583,424
Oracle,2,0.336512,0.296621,0.376143,301
Oracle,3,0.119843,0.087710,0.153590,228
Oracle,4,0.029285,0.010863,0.051303,141
Oracle,5,0.000816,0.000000,0.002449,98
Disturb,1,0.383589,0.360859,0.407122,1019
Disturb,2,0.437223,0.413700,0.461564,841
Disturb,3,0.212547,0.187048,0.237921,584
Disturb,4,0.063097,0.046555,0.081192,444
Disturb,5,0.021821,0.008992,0.037353,278
