Method,CRAG_RTE,CRAG_DeltaF,CRAG_Util,CRAG_LJ,CRAG_Itr,InfoSeek_RTE,InfoSeek_DeltaF,InfoSeek_Util,InfoSeek_LJ,InfoSeek_Itr,MCSearch_RTE,MCSearch_DeltaF,MCSearch_Util,MCSearch_LJ,MCSearch_Itr,OVEN_RTE,OVEN_DeltaF,OVEN_Util,OVEN_LJ,OVEN_Itr,Overall_RTE,Overall_DeltaF,Overall_Util,Overall_LJ,Overall_Itr
Qwen2.5-VL-7B,0.312,0.427,0.396,0.169,2.781,0.168,0.323,0.268,0.062,3.756,0.477,0.572,0.706,0.637,2.537,0.162,0.336,0.32,0.422,1.709,0.28,0.415,0.423,0.323,2.696
InternVL3.5-8B,0.032,0.319,0.292,0.018,0.279,0.095,0.374,0.169,0.023,2.761,0.456,0.683,0.567,0.333,2.007,0.166,0.568,0.299,0.359,1.194,0.143,0.433,0.333,0.129,1.041
Qwen3-VL-32B-Instruct,0.318,0.512,0.264,0.311,3.392,0.404,0.576,0.397,0.199,3.193,0.457,0.598,0.644,0.73,2.83,0.294,0.526,0.372,0.495,2.15,0.368,0.553,0.419,0.434,2.891
Qwen2.5-VL-7B,0.298,0.468,0.278,0.175,2.588,0.135,0.332,0.181,0.062,3.727,0.498,0.551,0.637,0.563,2.55,0.081,0.408,0.125,0.417,1.782,0.253,0.44,0.305,0.305,2.662
GPT-4o,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.5,,,,,,,,,,,,,,,,,,,,,,,,,
MMSearch-R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (GPT-5.5),,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (Qwen3.5-27B),,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (Qwen3-vl-32b),,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (Qwen2.5-vl-7b),0.42,0.72,0.47,0.256,2.007,0.34,0.6,0.39,0.136,2.074,0.53,0.67,0.72,0.653,2.323,0.22,0.56,0.28,0.524,1.34,0.38,0.64,0.47,0.392,1.936
w/o tightening,0.43,0.72,0.48,0.26,2.013,0.26,0.59,0.32,0.119,2.034,0.54,0.66,0.74,0.69,2.29,0.21,0.56,0.27,0.48,1.364,0.36,0.63,0.45,0.387,1.925
w/o rebuild_messages,0.38,0.49,0.39,0.224,2.548,0.28,0.37,0.32,0.108,2.926,0.51,0.58,0.65,0.673,2.56,0.2,0.45,0.26,0.505,1.578,0.34,0.47,0.4,0.376,2.403
w/o roi,0.41,0.7,0.46,0.251,2.002,0.34,0.6,0.41,0.148,1.994,0.53,0.67,0.73,0.66,2.317,0.24,0.5,0.25,0.471,1.49,0.38,0.62,0.46,0.383,1.951
