Method,EntityRecognition_RTE,EntityRecognition_DeltaF,EntityRecognition_Util,EntityRecognition_LJ,EntityRecognition_Itr,SinglehopAttributeQuery_RTE,SinglehopAttributeQuery_DeltaF,SinglehopAttributeQuery_Util,SinglehopAttributeQuery_LJ,SinglehopAttributeQuery_Itr,Multihop_RTE,Multihop_DeltaF,Multihop_Util,Multihop_LJ,Multihop_Itr,Comparison_RTE,Comparison_DeltaF,Comparison_Util,Comparison_LJ,Comparison_Itr,SubproblemAggregation_RTE,SubproblemAggregation_DeltaF,SubproblemAggregation_Util,SubproblemAggregation_LJ,SubproblemAggregation_Itr,Overall_RTE,Overall_DeltaF,Overall_Util,Overall_LJ,Overall_Itr
Qwen2.5-VL-7B,0.208,0.539,0.511,0.38,1.84,0.271,0.468,0.457,0.13,3.293,0.3,0.524,0.459,0.12,2.98,0.283,0.523,0.442,0.157,2.847,0.477,0.645,0.769,0.637,2.537,0.308,0.54,0.527,0.285,2.699
InternVL3.5,0.129,0.638,0.363,0.267,0.977,0.076,0.419,0.244,0.033,1.713,0.03,0.366,0.316,0.007,0.26,0.023,0.406,0.225,0.003,0.25,0.456,0.77,0.588,0.333,2.007,0.143,0.52,0.347,0.129,1.041
Qwen3-VL-32B-Instruct,0.313,0.614,0.482,0.487,2.287,0.435,0.674,0.543,0.310,2.863,0.304,0.602,0.376,0.213,3.650,0.253,0.553,0.330,0.293,3.800,0.457,0.626,0.708,0.730,2.830,0.353,0.614,0.488,0.407,3.086
Qwen2.5-VL-7B,0.233,0.620,0.464,0.287,1.770,0.288,0.520,0.477,0.133,2.890,0.394,0.712,0.503,0.123,2.013,0.339,0.643,0.474,0.167,2.057,0.497,0.647,0.743,--,2.517,0.350,0.628,0.532,0.178,2.249
GPT-4o,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5.5,,,,,,,,,,,,,,,,,,,,,,,,,
MMSearch-R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (GPT-5.5),,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (Qwen3.5-27B),,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (Qwen3-vl-32b),,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (Qwen2.5-vl-7b),0.29,0.75,0.46,0.47,2.26,0.4,0.72,0.57,0.207,2.843,0.42,0.8,0.52,0.193,2.953,0.38,0.74,0.51,0.267,3.09,0.53,0.7,0.76,0.653,2.687,0.41,0.74,0.56,0.358,2.767
w/o tightening,0.28,0.75,0.45,0.44,2.223,0.37,0.72,0.53,0.207,2.773,0.43,0.79,0.53,0.197,2.873,0.38,0.74,0.52,0.267,3.007,0.54,0.7,0.78,0.69,2.62,0.4,0.74,0.56,0.36,2.699
w/o rebuild_messages,0.26,0.66,0.44,0.457,2.407,0.36,0.57,0.55,0.187,3.193,0.38,0.62,0.51,0.167,3.233,0.33,0.56,0.47,0.21,3.467,0.51,0.66,0.73,0.673,2.743,0.37,0.61,0.54,0.339,3.009
w/o roi,0.29,0.73,0.46,0.427,2.32,0.4,0.72,0.58,0.227,2.83,0.42,0.79,0.52,0.19,2.963,0.37,0.73,0.51,0.25,3.107,0.53,0.7,0.76,0.66,2.667,0.4,0.73,0.57,0.351,2.777
