model,source,label_file,total_labels,ambiguous_labels,not_ambiguous_labels,other_labels,ambiguity_rate,ambiguity_percent
InternVL3.5-8B,OVEN,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_InternVL3.5-8B/RefAmb_2026_05_09_15_53_refamb_oven_intervl3_5_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,597,314,283,0,0.525963149078727,52.60%
InternVL3.5-8B,InfoSeek,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_InternVL3.5-8B/RefAmb_2026_05_09_16_13_refamb_infoseek_intervl3_5_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,1157,821,336,0,0.7095937770095073,70.96%
InternVL3.5-8B,MCSearch,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_InternVL3.5-8B/RefAmb_2026_05_09_16_39_refamb_mcsearch_intervl3_5_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,1438,66,1372,0,0.0458970792767733,4.59%
InternVL3.5-8B,CRAG,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_InternVL3.5-8B/RefAmb_2026_05_09_17_28_refamb_crag_intervl3_5_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,1925,889,1036,0,0.4618181818181818,46.18%
Qwen2.5-vl-7B,OVEN,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen2.5-vl-7B/RefAmb_2026_05_01_13_28_refamb_oven_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,566,235,331,0,0.41519434628975266,41.52%
Qwen2.5-vl-7B,InfoSeek,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen2.5-vl-7B/RefAmb_2026_05_02_13_50_refamb_infoseek_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,1139,653,486,0,0.5733099209833187,57.33%
Qwen2.5-vl-7B,MCSearch,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen2.5-vl-7B/RefAmb_2026_05_01_11_26_refamb_mcsearch_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,1558,56,1502,0,0.03594351732991014,3.59%
Qwen2.5-vl-7B,CRAG,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen2.5-vl-7B/RefAmb_2026_05_02_14_22_refamb_crag_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,5298,1741,3557,0,0.32861457153642887,32.86%
Qwen3-vl-32B,OVEN,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_qwen3_vl_32b/RefAmb_2026_05_19_12_24_refamb_oven_qwen3_vl_32b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,415,32,383,0,0.07710843373493977,7.71%
Qwen3-vl-32B,InfoSeek,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_qwen3_vl_32b/RefAmb_2026_05_19_15_53_refamb_infoseek_qwen3_vl_32b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,709,84,625,0,0.11847672778561354,11.85%
Qwen3-vl-32B,MCSearch,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_qwen3_vl_32b/RefAmb_2026_05_19_21_03_refamb_mcsearch_qwen3_vl_32b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,1597,12,1585,0,0.007514088916718848,0.75%
Qwen3-vl-32B,CRAG,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_qwen3_vl_32b/RefAmb_2026_05_20_02_27_refamb_crag_qwen3_vl_32b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,4074,160,3914,0,0.039273441335297005,3.93%
Qwen3-vl-2B,Overall,aggregate,0,0,0,0,,NA
Qwen3-vl-4B,OVEN,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-4B/RefAmb_2026_05_23_11_46_refamb_oven_qwen3_vl_4b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,713,252,461,0,0.3534361851332398,35.34%
Qwen3-vl-4B,InfoSeek,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-4B/RefAmb_2026_05_23_12_21_refamb_infoseek_qwen3_vl_4b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,1246,598,648,0,0.4799357945425361,47.99%
Qwen3-vl-4B,MCSearch,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-4B/RefAmb_2026_05_23_13_04_refamb_mcsearch_qwen3_vl_4b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,1780,32,1748,0,0.017977528089887642,1.80%
Qwen3-vl-4B,CRAG,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-4B/RefAmb_2026_05_23_14_22_refamb_crag_qwen3_vl_4b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,4899,832,4067,0,0.16983057766891202,16.98%
Qwen3-vl-8B,OVEN,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-8b/RefAmb_2026_05_23_11_40_refamb_oven_qwen3_vl_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,745,251,494,0,0.33691275167785234,33.69%
Qwen3-vl-8B,InfoSeek,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-8b/RefAmb_2026_05_23_12_10_refamb_infoseek_qwen3_vl_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,1221,543,678,0,0.44471744471744473,44.47%
Qwen3-vl-8B,MCSearch,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-8b/RefAmb_2026_05_23_12_53_refamb_mcsearch_qwen3_vl_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,1688,29,1659,0,0.017180094786729858,1.72%
Qwen3-vl-8B,CRAG,/home/you/FlashRAG/exps/idea10/data/result/RefAmb_original_Qwen3-vl-8b/RefAmb_2026_05_23_14_07_refamb_crag_qwen3_vl_8b_stage/label/deepseek/omnisearch_trajectories.entity_ambiguity_labeled.jsonl,4771,762,4009,0,0.15971494445608886,15.97%
