model,setting,tqs,delta_f,iters,step_u,step_score,step_delta_f,query_len,query_sim,inf_rate
Qwen2.5-vl-7B,Original,0.30772389863920757,1.159317880212547,2.6993333333333336,0.43537027965103253,0.24876544712492063,0.4311024986873,7.259390322528952,0.8965875486437205,0.40194328230226506
Qwen2.5-vl-7B,Disturb,0.28925794438299596,1.4468140629869108,2.953333333333333,0.35346478203190607,0.2285438366312426,0.48794497107720963,7.424303382294554,0.8746961897134694,0.37460782150977706
Qwen2.5-vl-7B,Oracle,0.34678716918036456,1.1704117748897296,2.4126666666666665,0.4731322101387339,0.2861794588095833,0.47890919683866956,6.345301030480906,0.8695511531909771,0.4557790559567072
Qwen3-vl-4B,Original,0.4037099758430864,1.524903471296382,2.8506666666666667,0.3816927249628929,0.2675722790171617,0.5386216324095127,7.888434405848554,0.8755992638624007,0.4561762073587437
Qwen3-vl-4B,Disturb,0.3206293106191535,1.8805301498441749,3.276,0.31812427405566457,0.2266686457353134,0.5739787458982774,8.04303528451052,0.8491525297933122,0.38893369834852437
Qwen3-vl-4B,Oracle,0.43330512337148913,1.4758368695526414,2.718,0.41145403276168213,0.29081945744776455,0.5463871410727937,6.8613771303257085,0.8551440126948497,0.4859433885890388
Qwen3-vl-8B,Original,0.36016991322377345,1.7088785221931322,3.0433333333333334,0.3537610197786906,0.25129043045169325,0.5612471650387564,7.277826300585712,0.8446661227187527,0.43122316502838864
Qwen3-vl-8B,Disturb,0.2883000673178272,2.0636525180682894,3.492,0.28815564420911965,0.21010859402917711,0.5891104063109472,7.338375300352203,0.8270707934045641,0.35411110419768227
Qwen3-vl-8B,Oracle,0.37572987995925844,1.6805750234212777,2.9619999999999997,0.3674908602000656,0.26044004282254424,0.5686121494557761,6.4557420418750135,0.8311402124645844,0.44414203496926985
Qwen3-vl-32B,Original,0.3527124810232701,1.656063194129928,3.086,0.37422919801349414,0.2560269525755221,0.5404053046602572,6.587736939794678,0.8684497164212187,0.43386998142350613
Qwen3-vl-32B,Disturb,0.3006510098031403,2.0675874674843864,3.5566666666666666,0.3165131715255154,0.22140205917607855,0.5847275603571833,6.548171580175496,0.831236794375153,0.3738825090487066
Qwen3-vl-32B,Oracle,0.3543360884675978,1.6695371189306976,3.128,0.37216529605924614,0.25388243009921957,0.5374987320817423,6.475173326129899,0.8598372632103605,0.42918252551413477
InternVL3.5-8B,Original,0.142867538193188,0.5369763478594505,1.0413333333333334,0.308177377115351,0.18232577203453684,0.4475258976323,9.781407439527822,0.8520818867892385,0.33321220564760057
InternVL3.5-8B,Disturb,0.09590260491300596,0.946804111329131,1.5106666666666666,0.17017819576838045,0.10615819580916684,0.6474687235180315,9.222259396188038,0.7734136434175571,0.19310898287278794
InternVL3.5-8B,Oracle,0.17985293592439525,0.598927024390979,1.078,0.3897721074326737,0.2240355322061874,0.4883397178188849,6.123919460023506,0.7929674760711082,0.389376291485185
