model,setting,task,tqs,delta_f,iters,step_u,step_score,step_delta_f,query_len,query_sim,inf_rate,n_trajectories,n_steps
Qwen3-vl-32B,Original,Entity Recognition,0.3131534334430942,1.1952417041645451,2.2866666666666666,0.34766763848396504,0.21931879564837942,0.5227004537162734,6.737609329446064,0.8929534610812295,0.3323615160349854,300,686
Qwen3-vl-32B,Original,Single-hop Attribute Query,0.43540255285089396,1.6434923108611093,2.8633333333333333,0.39057043073341097,0.2932267803849036,0.5739786883100498,5.847497089639115,0.9099135919207466,0.44237485448195574,300,859
Qwen3-vl-32B,Original,Multi-hop,0.30444963578729467,1.910125475907304,3.65,0.25616438356164384,0.19820564581857522,0.5233220481937819,5.764383561643836,0.8742131357827555,0.3278538812785388,300,1095
Qwen3-vl-32B,Original,Comparison,0.25312551750428997,1.838591949451933,3.8,0.2324561403508772,0.1673853175766502,0.4838399866978771,6.212280701754386,0.8982454696407027,0.30350877192982456,300,1140
Qwen3-vl-32B,Original,Subproblem Aggregation,0.45743126553077756,1.692864530264749,2.83,0.6442873969375736,0.40199822344910197,0.5981853463833035,8.376914016489987,0.7669229236806594,0.7632508833922261,300,849
Qwen3-vl-32B,Disturb,Entity Recognition,0.2882884474585899,1.3514769711823882,2.5,0.30866666666666664,0.19602619971928284,0.5405907884729553,6.404,0.8733807339354611,0.31066666666666665,300,750
Qwen3-vl-32B,Disturb,Single-hop Attribute Query,0.351152895672131,2.135560797104789,3.4466666666666668,0.3176982591876209,0.2463841182443881,0.6196017786570954,5.8839458413926495,0.8425250091746848,0.3713733075435203,300,1034
Qwen3-vl-32B,Disturb,Multi-hop,0.2636223111293916,2.3485568367818046,4.083333333333333,0.22448979591836735,0.17826520605666243,0.5751567763547276,5.830204081632653,0.8281709000591136,0.2914285714285714,300,1225
Qwen3-vl-32B,Disturb,Comparison,0.20756970244007916,2.3156706134754823,4.516666666666667,0.20184501845018452,0.1400851329202993,0.5126946007694795,6.206642066420664,0.8631252913434675,0.2605166051660517,300,1355
Qwen3-vl-32B,Disturb,Subproblem Aggregation,0.39262169231550986,2.186672118877468,3.236666666666667,0.5298661174047374,0.3462496389397601,0.6755938575316586,8.416065911431513,0.7489820373630378,0.635427394438723,300,971
Qwen3-vl-32B,Oracle,Entity Recognition,0.32378680057222925,1.1686609055118722,2.27,0.3436123348017621,0.21753191497991062,0.5148285927365076,6.384728340675477,0.8681260202302549,0.32305433186490456,300,681
Qwen3-vl-32B,Oracle,Single-hop Attribute Query,0.4332240789440249,1.6691951471085504,2.91,0.38831615120274915,0.28932064846171174,0.5736065797623885,5.77205040091638,0.8958794038874089,0.43757159221076747,300,873
Qwen3-vl-32B,Oracle,Multi-hop,0.300436980723794,1.9869486801178693,3.796666666666667,0.2489025460930641,0.1914360474963866,0.5233403020503606,5.71729587357331,0.8693130508790726,0.31782265144863914,300,1139
Qwen3-vl-32B,Oracle,Comparison,0.252918724794265,1.8378729029108707,3.8433333333333333,0.23460537727666955,0.16691125285577196,0.4781976330210418,6.105810928013877,0.8987942182617591,0.3026886383347788,300,1153
Qwen3-vl-32B,Oracle,Subproblem Aggregation,0.46131385730367586,1.6850079590043248,2.82,0.6453900709219859,0.4042122867023169,0.597520552838413,8.39598108747045,0.767073622793307,0.764775413711584,300,846
