task_type,setting,rte,mean_tqs,lj_score,llm
Entity Recognition,Original,0.313,0.313,0.487,0.487
Entity Recognition,Disturb,0.308,0.308,0.373,0.373
Entity Recognition,Oracle,0.405,0.405,0.621,0.621
Single-hop Attribute Query,Original,0.435,0.435,0.310,0.310
Single-hop Attribute Query,Disturb,0.354,0.354,0.336,0.336
Single-hop Attribute Query,Oracle,0.255,0.255,0.370,0.370
Multi-hop,Original,0.304,0.304,0.213,0.213
Multi-hop,Disturb,0.278,0.278,0.243,0.243
Multi-hop,Oracle,0.180,0.180,0.500,0.500
Comparison,Original,0.253,0.253,0.293,0.293
Comparison,Disturb,0.224,0.224,0.288,0.288
Comparison,Oracle,0.158,0.158,0.500,0.500
Subproblem Aggregation,Original,0.457,0.457,0.730,0.730
Subproblem Aggregation,Disturb,0.402,0.402,0.678,0.678
Subproblem Aggregation,Oracle,0.593,0.593,0.750,0.750
