model,setting,num_trajectories,round_1_mean,round_2_mean,round_3_mean,round_4_mean,round_5_mean,poly_degree,poly_coefficients
Qwen2.5-vl-7B,Original,1500,0.475956,0.253146,0.102616,0.038800,0.005987,3,"[-0.003439746908636338, 0.06429413127110668, -0.3966248237108169, 0.8127287038868328]"
Qwen2.5-vl-7B,Oracle,1500,0.507143,0.296640,0.120675,0.049672,0.008298,3,"[-0.00040899593376247175, 0.03533964751379624, -0.3240702176910266, 0.7983648655620689]"
Qwen2.5-vl-7B,Disturb,1500,0.349473,0.346708,0.149702,0.043889,0.013481,3,"[0.02247043849085488, -0.19966915425348114, 0.41743314506577456, 0.11354216113208013]"
Qwen3-vl-4B,Original,1500,0.457854,0.265863,0.171540,0.097106,0.051171,3,"[-0.005764012911149625, 0.07416182329448384, -0.36795731958049027, 0.756179266664938]"
Qwen3-vl-4B,Oracle,1500,0.485929,0.296346,0.190757,0.092020,0.034760,3,"[-0.0035432244369365522, 0.051281782057340256, -0.31064313486156236, 0.7472372551121053]"
Qwen3-vl-4B,Disturb,1500,0.248044,0.382746,0.216287,0.110105,0.049226,3,"[0.028872100280817152, -0.2834835646674792, 0.756161890027192, -0.24812946286203844]"
Qwen3-vl-8B,Original,1500,0.399562,0.285299,0.184581,0.115438,0.063747,3,"[0.00032559113960345387, 0.008263879885540554, -0.1436304821937845, 0.5350627963678902]"
Qwen3-vl-8B,Oracle,1500,0.415805,0.306366,0.170912,0.111207,0.070534,3,"[0.003753845212165624, -0.018550130684797855, -0.09138616304627918, 0.5242517092409005]"
Qwen3-vl-8B,Disturb,1500,0.221176,0.341328,0.225475,0.130000,0.061948,3,"[0.0219524119715186, -0.22300243980000128, 0.6176830975775218, -0.19189551570203117]"
Qwen3-vl-32B,Original,1500,0.388226,0.254145,0.185870,0.117350,0.087225,3,"[-0.0022841561978189802, 0.035390664092409825, -0.21678551824307493, 0.5704094779250098]"
Qwen3-vl-32B,Oracle,1500,0.389643,0.252045,0.179453,0.119115,0.085559,3,"[-0.0031852395374533876, 0.044405576606196984, -0.24371197774294184, 0.5911732735652141]"
Qwen3-vl-32B,Disturb,1500,0.256571,0.270057,0.224019,0.155543,0.108488,3,"[0.006745464680838714, -0.07096069355576998, 0.17963410780358324, 0.14105511255469225]"
InternVL3.5-8B,Original,1500,0.301047,0.198813,0.199818,0.126718,0.066153,3,"[-0.007558733033934662, 0.06868798156328046, -0.23653089724068632, 0.47267789182234266]"
InternVL3.5-8B,Oracle,1500,0.323179,0.259771,0.232846,0.128446,0.077495,3,"[0.0014137914094719372, -0.01647849934300333, -0.006377622604636145, 0.34112305097661155]"
InternVL3.5-8B,Disturb,1500,0.142239,0.155686,0.170182,0.133753,0.062538,3,"[-0.00298628029315998, 0.011144482657031609, 0.005782398625673375, 0.12732570265929474]"
