model,setting,length,count,probability,total_trajectories
Qwen2.5-vl-7B,Original,0,192,0.128,1500
Qwen2.5-vl-7B,Original,1,271,0.18066666666666667,1500
Qwen2.5-vl-7B,Original,2,216,0.144,1500
Qwen2.5-vl-7B,Original,3,303,0.202,1500
Qwen2.5-vl-7B,Original,4,153,0.102,1500
Qwen2.5-vl-7B,Original,5,365,0.24333333333333335,1500
Qwen2.5-vl-7B,Disturb,0,157,0.10466666666666667,1500
Qwen2.5-vl-7B,Disturb,1,238,0.15866666666666668,1500
Qwen2.5-vl-7B,Disturb,2,270,0.18,1500
Qwen2.5-vl-7B,Disturb,3,188,0.12533333333333332,1500
Qwen2.5-vl-7B,Disturb,4,197,0.13133333333333333,1500
Qwen2.5-vl-7B,Disturb,5,450,0.3,1500
Qwen2.5-vl-7B,Oracle,0,209,0.13933333333333334,1500
Qwen2.5-vl-7B,Oracle,1,349,0.23266666666666666,1500
Qwen2.5-vl-7B,Oracle,2,237,0.158,1500
Qwen2.5-vl-7B,Oracle,3,297,0.198,1500
Qwen2.5-vl-7B,Oracle,4,135,0.09,1500
Qwen2.5-vl-7B,Oracle,5,273,0.182,1500
Qwen3-vl-4B,Original,0,53,0.035333333333333335,1500
Qwen3-vl-4B,Original,1,435,0.29,1500
Qwen3-vl-4B,Original,2,251,0.16733333333333333,1500
Qwen3-vl-4B,Original,3,174,0.116,1500
Qwen3-vl-4B,Original,4,118,0.07866666666666666,1500
Qwen3-vl-4B,Original,5,469,0.31266666666666665,1500
Qwen3-vl-4B,Disturb,0,52,0.034666666666666665,1500
Qwen3-vl-4B,Disturb,1,247,0.16466666666666666,1500
Qwen3-vl-4B,Disturb,2,316,0.21066666666666667,1500
Qwen3-vl-4B,Disturb,3,192,0.128,1500
Qwen3-vl-4B,Disturb,4,132,0.088,1500
Qwen3-vl-4B,Disturb,5,561,0.374,1500
Qwen3-vl-4B,Oracle,0,53,0.035333333333333335,1500
Qwen3-vl-4B,Oracle,1,485,0.3233333333333333,1500
Qwen3-vl-4B,Oracle,2,257,0.17133333333333334,1500
Qwen3-vl-4B,Oracle,3,181,0.12066666666666667,1500
Qwen3-vl-4B,Oracle,4,106,0.07066666666666667,1500
Qwen3-vl-4B,Oracle,5,418,0.2786666666666667,1500
Qwen3-vl-8B,Original,0,78,0.052,1500
Qwen3-vl-8B,Original,1,317,0.21133333333333335,1500
Qwen3-vl-8B,Original,2,282,0.188,1500
Qwen3-vl-8B,Original,3,170,0.11333333333333333,1500
Qwen3-vl-8B,Original,4,91,0.06066666666666667,1500
Qwen3-vl-8B,Original,5,562,0.37466666666666665,1500
Qwen3-vl-8B,Disturb,0,85,0.056666666666666664,1500
Qwen3-vl-8B,Disturb,1,179,0.11933333333333333,1500
Qwen3-vl-8B,Disturb,2,286,0.19066666666666668,1500
Qwen3-vl-8B,Disturb,3,195,0.13,1500
Qwen3-vl-8B,Disturb,4,98,0.06533333333333333,1500
Qwen3-vl-8B,Disturb,5,657,0.438,1500
Qwen3-vl-8B,Oracle,0,81,0.054,1500
Qwen3-vl-8B,Oracle,1,349,0.23266666666666666,1500
Qwen3-vl-8B,Oracle,2,316,0.21066666666666667,1500
Qwen3-vl-8B,Oracle,3,150,0.1,1500
Qwen3-vl-8B,Oracle,4,80,0.05333333333333334,1500
Qwen3-vl-8B,Oracle,5,524,0.34933333333333333,1500
Qwen3-vl-32B,Original,0,23,0.015333333333333332,1500
Qwen3-vl-32B,Original,1,264,0.176,1500
Qwen3-vl-32B,Original,2,380,0.25333333333333335,1500
Qwen3-vl-32B,Original,3,219,0.146,1500
Qwen3-vl-32B,Original,4,122,0.08133333333333333,1500
Qwen3-vl-32B,Original,5,492,0.328,1500
Qwen3-vl-32B,Disturb,0,23,0.015333333333333332,1500
Qwen3-vl-32B,Disturb,1,191,0.12733333333333333,1500
Qwen3-vl-32B,Disturb,2,309,0.206,1500
Qwen3-vl-32B,Disturb,3,273,0.182,1500
Qwen3-vl-32B,Disturb,4,155,0.10333333333333333,1500
Qwen3-vl-32B,Disturb,5,549,0.366,1500
Qwen3-vl-32B,Oracle,0,23,0.015333333333333332,1500
Qwen3-vl-32B,Oracle,1,271,0.18066666666666667,1500
Qwen3-vl-32B,Oracle,2,379,0.25266666666666665,1500
Qwen3-vl-32B,Oracle,3,216,0.144,1500
Qwen3-vl-32B,Oracle,4,124,0.08266666666666667,1500
Qwen3-vl-32B,Oracle,5,487,0.32466666666666666,1500
InternVL3.5-8B,Original,0,732,0.488,1500
InternVL3.5-8B,Original,1,409,0.27266666666666667,1500
InternVL3.5-8B,Original,2,153,0.102,1500
InternVL3.5-8B,Original,3,70,0.04666666666666667,1500
InternVL3.5-8B,Original,4,43,0.028666666666666667,1500
InternVL3.5-8B,Original,5,93,0.062,1500
InternVL3.5-8B,Disturb,0,392,0.2613333333333333,1500
InternVL3.5-8B,Disturb,1,529,0.3526666666666667,1500
InternVL3.5-8B,Disturb,2,324,0.216,1500
InternVL3.5-8B,Disturb,3,89,0.059333333333333335,1500
InternVL3.5-8B,Disturb,4,53,0.035333333333333335,1500
InternVL3.5-8B,Disturb,5,113,0.07533333333333334,1500
InternVL3.5-8B,Oracle,0,647,0.43133333333333335,1500
InternVL3.5-8B,Oracle,1,506,0.3373333333333333,1500
InternVL3.5-8B,Oracle,2,156,0.104,1500
InternVL3.5-8B,Oracle,3,62,0.04133333333333333,1500
InternVL3.5-8B,Oracle,4,36,0.024,1500
InternVL3.5-8B,Oracle,5,93,0.062,1500
