model,setting,step,mean_step_score,ci_low,ci_high,alive_count,alive_fraction,total_trajectories
Qwen2.5-vl-7B,Original,1,0.4759561962803181,0.4563098454454111,0.4963734535014233,1308,0.872,1500
Qwen2.5-vl-7B,Original,2,0.25314587931321003,0.2330323151751753,0.2731787514239704,1037,0.6913333333333334,1500
Qwen2.5-vl-7B,Original,3,0.1026158381121493,0.08671173675638989,0.11918794532679909,821,0.5473333333333333,1500
Qwen2.5-vl-7B,Original,4,0.03879998026122185,0.02641007210929977,0.05304541028993105,518,0.3453333333333333,1500
Qwen2.5-vl-7B,Original,5,0.005987435272705117,0.0010893672532385921,0.013186417144544419,365,0.24333333333333335,1500
Qwen2.5-vl-7B,Oracle,1,0.5071430455401346,0.4879840957607786,0.5266791102713115,1291,0.8606666666666667,1500
Qwen2.5-vl-7B,Oracle,2,0.2966400684088674,0.275386431868989,0.31882818274748354,942,0.628,1500
Qwen2.5-vl-7B,Oracle,3,0.12067462643591849,0.10268445557983776,0.13975606379719896,705,0.47,1500
Qwen2.5-vl-7B,Oracle,4,0.04967163090167052,0.033912901783225625,0.06754296454311644,408,0.272,1500
Qwen2.5-vl-7B,Oracle,5,0.008298219320591091,0.0015018315013327226,0.017574552070451405,273,0.182,1500
Qwen2.5-vl-7B,Disturb,1,0.34947345053593193,0.32950027520291075,0.3687045494976271,1343,0.8953333333333333,1500
Qwen2.5-vl-7B,Disturb,2,0.34670790177372673,0.32547703106182535,0.3678940794919334,1105,0.7366666666666667,1500
Qwen2.5-vl-7B,Disturb,3,0.14970220790538155,0.13156628063100406,0.16979532496761685,835,0.5566666666666666,1500
Qwen2.5-vl-7B,Disturb,4,0.04388889635137514,0.0323331134294609,0.05609568491128191,647,0.43133333333333335,1500
Qwen2.5-vl-7B,Disturb,5,0.013480701581488853,0.005380671924719484,0.023495921240820738,450,0.3,1500
Qwen3-vl-4B,Original,1,0.457853849483099,0.43901835309613085,0.47705776514497883,1447,0.9646666666666667,1500
Qwen3-vl-4B,Original,2,0.2658634493314309,0.24670442900598666,0.2858482229286886,1012,0.6746666666666666,1500
Qwen3-vl-4B,Original,3,0.17153992106467994,0.1510961655710312,0.19188197328222203,761,0.5073333333333333,1500
Qwen3-vl-4B,Original,4,0.0971059666798777,0.07963513451372475,0.11568777791961679,587,0.3913333333333333,1500
Qwen3-vl-4B,Original,5,0.05117072924619641,0.03601046460429186,0.0674226411303438,469,0.31266666666666665,1500
Qwen3-vl-4B,Oracle,1,0.48592936866479547,0.4671127512303167,0.5053439546722273,1447,0.9646666666666667,1500
Qwen3-vl-4B,Oracle,2,0.29634555494745585,0.27513582528115643,0.31664681219414503,962,0.6413333333333333,1500
Qwen3-vl-4B,Oracle,3,0.19075697400928376,0.16972166186715262,0.2132227523045675,705,0.47,1500
Qwen3-vl-4B,Oracle,4,0.09202010144396729,0.07398299103728335,0.11151916699519339,524,0.34933333333333333,1500
Qwen3-vl-4B,Oracle,5,0.034759768414579346,0.022247541296379066,0.04888675350992503,418,0.2786666666666667,1500
Qwen3-vl-4B,Disturb,1,0.24804360779742152,0.23055983036820762,0.26580947314694775,1448,0.9653333333333334,1500
Qwen3-vl-4B,Disturb,2,0.3827462806932403,0.36274144979050343,0.40392108250969727,1201,0.8006666666666666,1500
Qwen3-vl-4B,Disturb,3,0.21628670290787708,0.1964249646979888,0.23577923977984996,885,0.59,1500
Qwen3-vl-4B,Disturb,4,0.11010490046363422,0.09225210446283294,0.1286302929981587,693,0.462,1500
Qwen3-vl-4B,Disturb,5,0.04922605070801749,0.036369402263672676,0.06387186481643883,561,0.374,1500
Qwen3-vl-8B,Original,1,0.39956244241182143,0.3804873948153383,0.41951398895113334,1422,0.948,1500
Qwen3-vl-8B,Original,2,0.2852994517890249,0.26519289594933065,0.3048021234483811,1105,0.7366666666666667,1500
Qwen3-vl-8B,Original,3,0.18458117280112418,0.16495747723987075,0.2046364758202877,823,0.5486666666666666,1500
Qwen3-vl-8B,Original,4,0.11543814984573608,0.09703916971145614,0.13508825402395788,653,0.43533333333333335,1500
Qwen3-vl-8B,Original,5,0.06374693220048505,0.04899732254941634,0.07996482426529565,562,0.37466666666666665,1500
Qwen3-vl-8B,Oracle,1,0.4158052262113385,0.39647124709130027,0.4341639071495756,1419,0.946,1500
Qwen3-vl-8B,Oracle,2,0.30636576014907774,0.28533914492258367,0.3273911748574538,1070,0.7133333333333334,1500
Qwen3-vl-8B,Oracle,3,0.17091165760345092,0.15120082201110177,0.1909831871615821,754,0.5026666666666667,1500
Qwen3-vl-8B,Oracle,4,0.11120719772022009,0.09339075017981929,0.13065663296334595,604,0.4026666666666667,1500
Qwen3-vl-8B,Oracle,5,0.07053424389961081,0.054323411568545234,0.08763410346068114,524,0.34933333333333333,1500
Qwen3-vl-8B,Disturb,1,0.22117553091175968,0.20333800297376678,0.23829990908651602,1415,0.9433333333333334,1500
Qwen3-vl-8B,Disturb,2,0.3413283085661397,0.3208853214122988,0.3615695676896709,1236,0.824,1500
Qwen3-vl-8B,Disturb,3,0.22547480325004615,0.20508986347975677,0.2458687910645176,950,0.6333333333333333,1500
Qwen3-vl-8B,Disturb,4,0.1300002965262084,0.11196667336506136,0.1482784865937633,755,0.5033333333333333,1500
Qwen3-vl-8B,Disturb,5,0.0619484504901219,0.04827167498710781,0.07658456734816431,657,0.438,1500
Qwen3-vl-32B,Original,1,0.3882260754097548,0.36966656947605436,0.4065229330683821,1477,0.9846666666666667,1500
Qwen3-vl-32B,Original,2,0.25414541689303316,0.23450449712142588,0.2732633377350819,1213,0.8086666666666666,1500
Qwen3-vl-32B,Original,3,0.18587032968573286,0.16598427425315743,0.2066776165472266,833,0.5553333333333333,1500
Qwen3-vl-32B,Original,4,0.11734960243793827,0.09856989039641291,0.13631354058790424,614,0.4093333333333333,1500
Qwen3-vl-32B,Original,5,0.08722457212573693,0.06732515192012348,0.10780155755955792,492,0.328,1500
Qwen3-vl-32B,Oracle,1,0.38964275784371977,0.37107849100900614,0.40780954319478696,1477,0.9846666666666667,1500
Qwen3-vl-32B,Oracle,2,0.2520452083936769,0.2330209990301385,0.2716553899528976,1206,0.804,1500
Qwen3-vl-32B,Oracle,3,0.17945281199714155,0.15948697202926657,0.20009656209560256,827,0.5513333333333333,1500
Qwen3-vl-32B,Oracle,4,0.11911475808476746,0.10066857340473664,0.13928864774086874,611,0.4073333333333333,1500
Qwen3-vl-32B,Oracle,5,0.08555898277645992,0.06592222255974214,0.10532482557093983,487,0.32466666666666666,1500
Qwen3-vl-32B,Disturb,1,0.25657072069692566,0.23934624020687179,0.27452862501584524,1477,0.9846666666666667,1500
Qwen3-vl-32B,Disturb,2,0.2700573545311606,0.25003048944391915,0.28871400420550547,1286,0.8573333333333333,1500
Qwen3-vl-32B,Disturb,3,0.224019115627649,0.2038905608087933,0.24443083000115354,977,0.6513333333333333,1500
Qwen3-vl-32B,Disturb,4,0.15554326959605536,0.13511469573899929,0.17727523300112005,704,0.4693333333333333,1500
Qwen3-vl-32B,Disturb,5,0.10848812699678019,0.08841106269596198,0.12937987205251836,549,0.366,1500
InternVL3.5-8B,Original,1,0.30104742798746087,0.27818720233623306,0.3243547859239894,768,0.512,1500
InternVL3.5-8B,Original,2,0.19881341981678163,0.1679109634772133,0.23043112791356893,359,0.23933333333333334,1500
InternVL3.5-8B,Original,3,0.1998183515123212,0.1582528832708641,0.2427355785250315,206,0.13733333333333334,1500
InternVL3.5-8B,Original,4,0.12671835419443314,0.08731274783482906,0.1717808835423318,136,0.09066666666666667,1500
InternVL3.5-8B,Original,5,0.06615250033554732,0.03188684071981998,0.10562174633208946,93,0.062,1500
InternVL3.5-8B,Oracle,1,0.3231790225144274,0.3002820390085122,0.34589625162612014,853,0.5686666666666667,1500
InternVL3.5-8B,Oracle,2,0.25977093136716733,0.22605837738040005,0.2945574667888187,347,0.23133333333333334,1500
InternVL3.5-8B,Oracle,3,0.2328458695873164,0.18766436488288485,0.2800231325194471,191,0.12733333333333333,1500
InternVL3.5-8B,Oracle,4,0.12844601297228364,0.08491461491257775,0.17466004810789312,129,0.086,1500
InternVL3.5-8B,Oracle,5,0.07749468263832315,0.03752368147742383,0.12315268162175842,93,0.062,1500
InternVL3.5-8B,Disturb,1,0.14223941948731483,0.12630185091286633,0.15850089882853677,1108,0.7386666666666667,1500
InternVL3.5-8B,Disturb,2,0.15568572483958812,0.13384420104295247,0.17859300610651768,579,0.386,1500
InternVL3.5-8B,Disturb,3,0.17018236956512972,0.13724458365452027,0.2044411834856334,255,0.17,1500
InternVL3.5-8B,Disturb,4,0.13375261755835535,0.09338362633179181,0.1796176504423483,166,0.11066666666666666,1500
InternVL3.5-8B,Disturb,5,0.0625378414069293,0.033184672964578485,0.09571340416825751,113,0.07533333333333334,1500
