model,setting,step,mean_step_score,ci_low,ci_high,alive_count,alive_fraction,total_trajectories
Qwen2.5-vl-7B,Original,1,0.27360107560513913,0.23950120755966262,0.30802788868696407,365,1.0,365
Qwen2.5-vl-7B,Original,2,0.12416380595646928,0.09838107256556673,0.15170876831350327,365,1.0,365
Qwen2.5-vl-7B,Original,3,0.03556308681930646,0.02296475354595064,0.049907433994764244,365,1.0,365
Qwen2.5-vl-7B,Original,4,0.009691750971420604,0.002908218584218711,0.018708024700443377,365,1.0,365
Qwen2.5-vl-7B,Original,5,0.005987435272705117,0.0010893672532385921,0.013186417144544419,365,1.0,365
Qwen2.5-vl-7B,Oracle,1,0.30334296869980343,0.26452775329511713,0.34300304026400996,273,1.0,273
Qwen2.5-vl-7B,Oracle,2,0.13285719799625212,0.10536617440283863,0.16212826712041623,273,1.0,273
Qwen2.5-vl-7B,Oracle,3,0.04933623783999125,0.03209661422339746,0.0682772303929413,273,1.0,273
Qwen2.5-vl-7B,Oracle,4,0.014739820278890703,0.005221223101552535,0.026977118576178613,273,1.0,273
Qwen2.5-vl-7B,Oracle,5,0.008298219320591091,0.0015018315013327226,0.017574552070451405,273,1.0,273
Qwen2.5-vl-7B,Disturb,1,0.19230585208568776,0.1669094018459451,0.2199180246953912,450,1.0,450
Qwen2.5-vl-7B,Disturb,2,0.1761587348920332,0.15063598064683548,0.2038544131958897,450,1.0,450
Qwen2.5-vl-7B,Disturb,3,0.07173709209307615,0.054208577854093734,0.08981704233921631,450,1.0,450
Qwen2.5-vl-7B,Disturb,4,0.030488159756038392,0.019156062785550505,0.042889872197069294,450,1.0,450
Qwen2.5-vl-7B,Disturb,5,0.013480701581488853,0.005380671924719484,0.023495921240820738,450,1.0,450
Qwen3-vl-4B,Original,1,0.18922608128101542,0.1648071373800424,0.21314045554133593,469,1.0,469
Qwen3-vl-4B,Original,2,0.1038881924251333,0.08627397602140499,0.12230714094239246,469,1.0,469
Qwen3-vl-4B,Original,3,0.05224967827028657,0.03943631177630463,0.06604019444340678,469,1.0,469
Qwen3-vl-4B,Original,4,0.047696422884633244,0.03477034696558261,0.06169051956442215,469,1.0,469
Qwen3-vl-4B,Original,5,0.0511707292461964,0.03601046460429186,0.06742264113034381,469,1.0,469
Qwen3-vl-4B,Oracle,1,0.2073665588416897,0.18106401358392837,0.2342460224715747,418,1.0,418
Qwen3-vl-4B,Oracle,2,0.12178897859130344,0.10041083207070843,0.14246283446125121,418,1.0,418
Qwen3-vl-4B,Oracle,3,0.05804825594071064,0.04457202070808306,0.07273069593087891,418,1.0,418
Qwen3-vl-4B,Oracle,4,0.039424675463065086,0.02723774817097957,0.05325999256839298,418,1.0,418
Qwen3-vl-4B,Oracle,5,0.034759768414579346,0.022247541296379063,0.04888675350992504,418,1.0,418
Qwen3-vl-4B,Disturb,1,0.10700414866866126,0.08927630936483802,0.1253567770331259,561,1.0,561
Qwen3-vl-4B,Disturb,2,0.17945779889725647,0.15820949319669877,0.201075546520293,561,1.0,561
Qwen3-vl-4B,Disturb,3,0.09338134909460241,0.07854331343002124,0.10942335323542408,561,1.0,561
Qwen3-vl-4B,Disturb,4,0.046802871631688475,0.03580908725619597,0.0586794061424973,561,1.0,561
Qwen3-vl-4B,Disturb,5,0.04922605070801749,0.03636940226367267,0.06387186481643883,561,1.0,561
Qwen3-vl-8B,Original,1,0.1982167512550658,0.17476019896823541,0.22363716531900865,562,1.0,562
Qwen3-vl-8B,Original,2,0.11192527430190773,0.09338197358630172,0.1307177980117415,562,1.0,562
Qwen3-vl-8B,Original,3,0.07051335496704503,0.056527921979894646,0.08495838784778294,562,1.0,562
Qwen3-vl-8B,Original,4,0.05263603669994764,0.04023195535198964,0.06649071761659714,562,1.0,562
Qwen3-vl-8B,Original,5,0.06374693220048502,0.04899732254941635,0.07996482426529569,562,1.0,562
Qwen3-vl-8B,Oracle,1,0.2069703525189005,0.1814652377395573,0.23181383564127456,524,1.0,524
Qwen3-vl-8B,Oracle,2,0.12494105967860969,0.10560543593746764,0.14485767597688026,524,1.0,524
Qwen3-vl-8B,Oracle,3,0.0753789673388942,0.05979970733938718,0.09187868889166244,524,1.0,524
Qwen3-vl-8B,Oracle,4,0.05577710331385531,0.042193877266542036,0.07034778963140631,524,1.0,524
Qwen3-vl-8B,Oracle,5,0.07053424389961081,0.054323411568545234,0.08763410346068111,524,1.0,524
Qwen3-vl-8B,Disturb,1,0.12076800646685086,0.10268621151226377,0.13978233770731335,657,1.0,657
Qwen3-vl-8B,Disturb,2,0.15081680080321663,0.13139082978990607,0.17060481381358464,657,1.0,657
Qwen3-vl-8B,Disturb,3,0.09140100555424244,0.07678838168145483,0.1057801176333617,657,1.0,657
Qwen3-vl-8B,Disturb,4,0.06352946998807654,0.05189679715460504,0.07559878068649747,657,1.0,657
Qwen3-vl-8B,Disturb,5,0.06194845049012188,0.048271674987107806,0.0765845673481643,657,1.0,657
Qwen3-vl-32B,Original,1,0.21316235654660262,0.18768978198776354,0.23895707279373687,492,1.0,492
Qwen3-vl-32B,Original,2,0.06924515205775053,0.053720182863060635,0.08515866095202292,492,1.0,492
Qwen3-vl-32B,Original,3,0.05932093159604716,0.044717138705662136,0.07444723317027518,492,1.0,492
Qwen3-vl-32B,Original,4,0.061215972177998686,0.046824587476542716,0.07641301316541517,492,1.0,492
Qwen3-vl-32B,Original,5,0.08722457212573692,0.06732515192012345,0.10780155755955792,492,1.0,492
Qwen3-vl-32B,Oracle,1,0.2144776697793574,0.18903698095503596,0.24106450558498277,487,1.0,487
Qwen3-vl-32B,Oracle,2,0.06879707922529232,0.05321121908464347,0.084992823163912,487,1.0,487
Qwen3-vl-32B,Oracle,3,0.05465182493607078,0.04110489641698028,0.06927559525001145,487,1.0,487
Qwen3-vl-32B,Oracle,4,0.0606485751304725,0.04672835121442686,0.07623613675401247,487,1.0,487
Qwen3-vl-32B,Oracle,5,0.08555898277645989,0.06592222255974214,0.10532482557093985,487,1.0,487
Qwen3-vl-32B,Disturb,1,0.1450790780471299,0.12284107399439838,0.16763446241520435,549,1.0,549
Qwen3-vl-32B,Disturb,2,0.09615723644480415,0.07731622459681545,0.11569257390312035,549,1.0,549
Qwen3-vl-32B,Disturb,3,0.06905848504191885,0.05522217853898226,0.08316869413818244,549,1.0,549
Qwen3-vl-32B,Disturb,4,0.07009136648589637,0.0558452248781464,0.08511252107066039,549,1.0,549
Qwen3-vl-32B,Disturb,5,0.10848812699678018,0.08841106269596198,0.12937987205251833,549,1.0,549
InternVL3.5-8B,Original,1,0.1997220667200219,0.14653178266015118,0.2545711769632864,93,1.0,93
InternVL3.5-8B,Original,2,0.10759484444910337,0.0637610020819569,0.15651825678012654,93,1.0,93
InternVL3.5-8B,Original,3,0.0707031915259994,0.03628792233561724,0.10834293380247205,93,1.0,93
InternVL3.5-8B,Original,4,0.06546729130366975,0.03507273867480765,0.09941011120909428,93,1.0,93
InternVL3.5-8B,Original,5,0.0661525003355473,0.03188684071981998,0.10562174633208944,93,1.0,93
InternVL3.5-8B,Oracle,1,0.17544038901967554,0.12207498163690632,0.23151747462051483,93,1.0,93
InternVL3.5-8B,Oracle,2,0.15630517889108078,0.10357883721241899,0.21088822093217044,93,1.0,93
InternVL3.5-8B,Oracle,3,0.08235193702073278,0.045634120472613275,0.125206412972954,93,1.0,93
InternVL3.5-8B,Oracle,4,0.037492846550824306,0.014848950312507618,0.06589711144323657,93,1.0,93
InternVL3.5-8B,Oracle,5,0.07749468263832315,0.03752368147742384,0.1231526816217584,93,1.0,93
InternVL3.5-8B,Disturb,1,0.1335136981389464,0.09346057384147059,0.175932817005111,113,1.0,113
InternVL3.5-8B,Disturb,2,0.1261042544513103,0.0877674100716937,0.16607511563604704,113,1.0,113
InternVL3.5-8B,Disturb,3,0.08160087690775202,0.051942556735737916,0.11423352198232656,113,1.0,113
InternVL3.5-8B,Disturb,4,0.04763304532451438,0.02283869029143882,0.07694935950532966,113,1.0,113
InternVL3.5-8B,Disturb,5,0.0625378414069293,0.03318467296457848,0.09571340416825752,113,1.0,113
