model,setting,step,mean_step_score,ci_low,ci_high,alive_count,alive_fraction,total_trajectories
Qwen2.5-vl-7B,Original,1,0.41503380315643784,0.3962472035734442,0.434346207290335,1308,0.872,1500
Qwen2.5-vl-7B,Original,2,0.1750081845651994,0.15992796729130646,0.18998201295113806,1037,0.6913333333333334,1500
Qwen2.5-vl-7B,Original,3,0.056165068726716394,0.04746522682543689,0.06573071340428821,821,0.5473333333333333,1500
Qwen2.5-vl-7B,Original,4,0.013398926516875277,0.008821900049212817,0.018392813779984033,518,0.3453333333333333,1500
Qwen2.5-vl-7B,Original,5,0.001456942583024912,0.0002539682538473167,0.0031748289539913987,365,0.24333333333333335,1500
Qwen2.5-vl-7B,Oracle,1,0.436481114528209,0.4169257651290049,0.45609148091368634,1291,0.8606666666666667,1500
Qwen2.5-vl-7B,Oracle,2,0.18628996296076888,0.1710947794096049,0.20167250031902992,942,0.628,1500
Qwen2.5-vl-7B,Oracle,3,0.0567170744248817,0.04797639370839175,0.06577838406442989,705,0.47,1500
Qwen2.5-vl-7B,Oracle,4,0.013510683605254379,0.009076600534339743,0.01832311031083649,408,0.272,1500
Qwen2.5-vl-7B,Oracle,5,0.0015102759163475785,0.00028943719795802614,0.003226574390356553,273,0.182,1500
Qwen2.5-vl-7B,Disturb,1,0.3128952293798381,0.2949121954274944,0.33101055314194183,1343,0.8953333333333333,1500
Qwen2.5-vl-7B,Disturb,2,0.25540815430664554,0.23825021516486394,0.2724549123541089,1105,0.7366666666666667,1500
Qwen2.5-vl-7B,Disturb,3,0.08333422906732908,0.07233387234305222,0.09468424025773073,835,0.5566666666666666,1500
Qwen2.5-vl-7B,Disturb,4,0.0189307439595598,0.013951231870788741,0.024484826397172577,647,0.43133333333333335,1500
Qwen2.5-vl-7B,Disturb,5,0.004044210474446656,0.00164149421499628,0.0070455834371510985,450,0.3,1500
Qwen3-vl-4B,Original,1,0.44167634680136325,0.42253713410853644,0.4604180096265767,1447,0.9646666666666667,1500
Qwen3-vl-4B,Original,2,0.1793692071489387,0.16521234253504302,0.19418936182864882,1012,0.6746666666666666,1500
Qwen3-vl-4B,Original,3,0.08702791995348103,0.07625573441406308,0.0983233207204267,761,0.5073333333333333,1500
Qwen3-vl-4B,Original,4,0.038000801627392146,0.030932690738026913,0.045503042713637365,587,0.3913333333333333,1500
Qwen3-vl-4B,Original,5,0.01599938134431074,0.0111351769631234,0.0213187038138417,469,0.31266666666666665,1500
Qwen3-vl-4B,Oracle,1,0.46875986430530586,0.44971163066321196,0.48764903619053424,1447,0.9646666666666667,1500
Qwen3-vl-4B,Oracle,2,0.19005628257296836,0.17513278400504886,0.20503734923665184,962,0.6413333333333333,1500
