model,task_type,items,amb_items,item_percent,queries,amb_queries,query_percent
Qwen2.5-VL-7B,Overall,1500,460,30.67%,4433,1412,31.85%
Qwen2.5-VL-7B,Entity Recognition,300,79,26.33%,534,235,44.01%
Qwen2.5-VL-7B,Single-hop Attribute Query,300,141,47.00%,999,474,47.45%
Qwen2.5-VL-7B,Multi-hop,300,125,41.67%,1070,361,33.74%
Qwen2.5-VL-7B,Comparison,300,99,33.00%,1031,313,30.36%
Qwen2.5-VL-7B,Subproblem Aggregation,300,16,5.33%,799,29,3.63%
LLaVA1.5-7B,Overall,1500,8,0.53%,1172,8,0.68%
LLaVA1.5-7B,Entity Recognition,300,0,0.00%,160,0,0.00%
LLaVA1.5-7B,Single-hop Attribute Query,300,3,1.00%,205,3,1.46%
LLaVA1.5-7B,Multi-hop,300,1,0.33%,238,1,0.42%
LLaVA1.5-7B,Comparison,300,2,0.67%,185,2,1.08%
LLaVA1.5-7B,Subproblem Aggregation,300,2,0.67%,384,2,0.52%
InternVL3.5-8B,Overall,1500,694,46.27%,2604,1062,40.78%
InternVL3.5-8B,Entity Recognition,300,148,49.33%,425,224,52.71%
InternVL3.5-8B,Single-hop Attribute Query,300,217,72.33%,741,473,63.83%
InternVL3.5-8B,Multi-hop,300,158,52.67%,357,176,49.30%
InternVL3.5-8B,Comparison,300,143,47.67%,351,155,44.16%
InternVL3.5-8B,Subproblem Aggregation,300,28,9.33%,730,34,4.66%
Qwen3.5-4B,Overall,500,37,7.40%,993,47,4.73%
Qwen3.5-4B,Entity Recognition,100,16,16.00%,138,23,16.67%
Qwen3.5-4B,Single-hop Attribute Query,100,5,5.00%,211,8,3.79%
Qwen3.5-4B,Multi-hop,100,7,7.00%,185,7,3.78%
Qwen3.5-4B,Comparison,100,6,6.00%,241,6,2.49%
Qwen3.5-4B,Subproblem Aggregation,100,3,3.00%,218,3,1.38%
Qwen3.5-9B,Overall,500,110,22.00%,1040,151,14.52%
Qwen3.5-9B,Entity Recognition,100,31,31.00%,144,41,28.47%
Qwen3.5-9B,Single-hop Attribute Query,100,30,30.00%,193,45,23.32%
Qwen3.5-9B,Multi-hop,100,25,25.00%,263,34,12.93%
Qwen3.5-9B,Comparison,100,23,23.00%,236,30,12.71%
Qwen3.5-9B,Subproblem Aggregation,100,1,1.00%,204,1,0.49%
Qwen3.5-27B,Overall,500,21,4.20%,1264,27,2.14%
Qwen3.5-27B,Entity Recognition,100,7,7.00%,165,8,4.85%
Qwen3.5-27B,Single-hop Attribute Query,100,7,7.00%,240,9,3.75%
Qwen3.5-27B,Multi-hop,100,3,3.00%,301,6,1.99%
Qwen3.5-27B,Comparison,100,1,1.00%,277,1,0.36%
Qwen3.5-27B,Subproblem Aggregation,100,3,3.00%,281,3,1.07%
