Model,Metric,Margin,Single-hop Attribute Query,Entity Recognition
RefAmb_original_Qwen2.5-vl-7B,C1 Ratio,0.1,0/1 (0.00),1/3 (0.33)
RefAmb_original_Qwen2.5-vl-7B,C1 Ratio,0.15,1/1 (1.00),3/3 (1.00)
RefAmb_original_Qwen2.5-vl-7B,C1 Ratio,0.2,1/1 (1.00),3/3 (1.00)
RefAmb_original_Qwen2.5-vl-7B,C1 Ratio,0.3,1/1 (1.00),3/3 (1.00)
RefAmb_original_Qwen2.5-vl-7B,C1 Ratio,0.4,1/1 (1.00),3/3 (1.00)
RefAmb_original_Qwen2.5-vl-7B,C1 Ratio,0.5,1/1 (1.00),3/3 (1.00)
RefAmb_original_Qwen2.5-vl-7B,C2 Ratio,0.1,1/1 (1.00),1/3 (0.33)
RefAmb_original_Qwen2.5-vl-7B,C2 Ratio,0.15,1/1 (1.00),1/3 (0.33)
RefAmb_original_Qwen2.5-vl-7B,C2 Ratio,0.2,1/1 (1.00),1/3 (0.33)
RefAmb_original_Qwen2.5-vl-7B,C2 Ratio,0.3,1/1 (1.00),1/3 (0.33)
RefAmb_original_Qwen2.5-vl-7B,C2 Ratio,0.4,1/1 (1.00),1/3 (0.33)
RefAmb_original_Qwen2.5-vl-7B,C2 Ratio,0.5,1/1 (1.00),1/3 (0.33)
RefAmb_original_Qwen2.5-vl-7B,RTE,0.05,0/1 (0.00),0/3 (0.00)
RefAmb_original_Qwen2.5-vl-7B,RTE,0.1,0/1 (0.00),0/3 (0.00)
RefAmb_original_Qwen2.5-vl-7B,RTE,0.15,0/1 (0.00),0/3 (0.00)
RefAmb_original_Qwen2.5-vl-7B,RTE,0.2,0/1 (0.00),1/3 (0.33)
RefAmb_original_Qwen2.5-vl-7B,RTE,0.25,0/1 (0.00),3/3 (1.00)
RefAmb_original_Qwen2.5-vl-7B,RTE,0.3,0/1 (0.00),3/3 (1.00)
RefAmb_original_Qwen2.5-vl-7B,LJ,0.05,0/1 (0.00),0/3 (0.00)
RefAmb_original_Qwen2.5-vl-7B,LJ,0.1,0/1 (0.00),0/3 (0.00)
RefAmb_original_Qwen2.5-vl-7B,LJ,0.15,0/1 (0.00),0/3 (0.00)
RefAmb_original_Qwen2.5-vl-7B,LJ,0.2,0/1 (0.00),0/3 (0.00)
RefAmb_original_Qwen2.5-vl-7B,LJ,0.25,1/1 (1.00),1/3 (0.33)
RefAmb_original_Qwen2.5-vl-7B,LJ,0.3,1/1 (1.00),1/3 (0.33)
RefAmb_original_qwen3_vl_32b,C1 Ratio,0.1,0/1 (0.00),1/3 (0.33)
RefAmb_original_qwen3_vl_32b,C1 Ratio,0.15,1/1 (1.00),3/3 (1.00)
RefAmb_original_qwen3_vl_32b,C1 Ratio,0.2,1/1 (1.00),3/3 (1.00)
RefAmb_original_qwen3_vl_32b,C1 Ratio,0.3,1/1 (1.00),3/3 (1.00)
RefAmb_original_qwen3_vl_32b,C1 Ratio,0.4,1/1 (1.00),3/3 (1.00)
RefAmb_original_qwen3_vl_32b,C1 Ratio,0.5,1/1 (1.00),3/3 (1.00)
RefAmb_original_qwen3_vl_32b,C2 Ratio,0.1,1/1 (1.00),1/3 (0.33)
RefAmb_original_qwen3_vl_32b,C2 Ratio,0.15,1/1 (1.00),1/3 (0.33)
RefAmb_original_qwen3_vl_32b,C2 Ratio,0.2,1/1 (1.00),1/3 (0.33)
RefAmb_original_qwen3_vl_32b,C2 Ratio,0.3,1/1 (1.00),1/3 (0.33)
RefAmb_original_qwen3_vl_32b,C2 Ratio,0.4,1/1 (1.00),1/3 (0.33)
RefAmb_original_qwen3_vl_32b,C2 Ratio,0.5,1/1 (1.00),1/3 (0.33)
RefAmb_original_qwen3_vl_32b,RTE,0.05,0/1 (0.00),0/3 (0.00)
RefAmb_original_qwen3_vl_32b,RTE,0.1,0/1 (0.00),0/3 (0.00)
