Method,CRAG_RTE,CRAG_DeltaF,CRAG_Util,CRAG_LJ,CRAG_Itr,InfoSeek_RTE,InfoSeek_DeltaF,InfoSeek_Util,InfoSeek_LJ,InfoSeek_Itr,MCSearch_RTE,MCSearch_DeltaF,MCSearch_Util,MCSearch_LJ,MCSearch_Itr,OVEN_RTE,OVEN_DeltaF,OVEN_Util,OVEN_LJ,OVEN_Itr,Overall_RTE,Overall_DeltaF,Overall_Util,Overall_LJ,Overall_Itr
Qwen2.5-VL-7B,0.312,0.533,0.495,0.169,2.781,0.168,0.407,0.329,0.062,3.756,0.477,0.645,0.769,0.637,2.537,0.162,0.511,0.436,0.422,1.709,0.280,0.524,0.507,0.323,2.696
InternVL3.5-8B,0.032,0.380,0.322,0.018,0.279,0.095,0.447,0.199,0.023,2.761,0.456,0.770,0.588,0.333,2.007,0.166,0.666,0.356,0.359,1.194,0.187,0.566,0.366,0.183,1.560
Qwen3-VL-32B-Instruct,0.318,0.604,0.398,0.311,3.392,0.404,0.653,0.528,0.199,3.193,0.457,0.626,0.708,0.730,2.830,0.294,0.598,0.488,0.495,2.150,0.368,0.620,0.530,0.434,2.892
Qwen2.5-VL-7B,0.371,0.668,0.511,0.175,2.005,0.179,0.422,0.348,0.062,3.608,0.497,0.647,0.743,--,2.517,0.201,0.619,0.461,--,1.670,0.312,0.589,0.516,0.119,2.450
GPT-5.1,0.208,0.723,0.279,0.417,2.520,0.321,0.727,0.420,0.347,2.767,0.330,0.672,0.493,0.893,2.503,--,--,--,--,--,0.286,0.707,0.397,0.552,2.597
MMSearch-R1,,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (GPT-5.1),,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (Qwen3-vl-32b),0.325,0.684,0.410,0.380,2.874,0.430,0.698,0.568,0.222,2.653,0.451,0.627,0.694,0.770,2.763,0.315,0.624,0.499,0.544,2.150,0.380,0.658,0.543,0.479,2.610
IIGCR (Qwen2.5-vl-7b),0.420,0.772,0.547,0.256,2.007,0.336,0.707,0.483,0.136,2.074,0.534,0.705,0.759,0.653,2.323,0.220,0.705,0.400,0.524,1.340,0.377,0.722,0.547,0.392,1.936
w/o tightening,0.428,0.772,0.558,0.260,2.013,0.265,0.694,0.395,0.119,2.034,0.542,0.701,0.779,0.690,2.290,0.210,0.701,0.377,0.481,1.364,0.361,0.717,0.527,0.388,1.925
w/o rebuild_messages,0.377,0.611,0.522,0.224,2.548,0.280,0.516,0.455,0.108,2.926,0.510,0.657,0.734,0.673,2.560,0.201,0.641,0.382,0.505,1.578,0.342,0.606,0.523,0.377,2.403
w/o roi,0.412,0.764,0.540,0.251,2.002,0.338,0.699,0.510,0.148,1.994,0.529,0.698,0.764,0.660,2.317,0.235,0.684,0.409,0.471,1.490,0.379,0.711,0.556,0.382,1.951
