Method,EntityRecognition_RTE,EntityRecognition_DeltaF,EntityRecognition_Util,EntityRecognition_LJ,EntityRecognition_Itr,SinglehopAttributeQuery_RTE,SinglehopAttributeQuery_DeltaF,SinglehopAttributeQuery_Util,SinglehopAttributeQuery_LJ,SinglehopAttributeQuery_Itr,Multihop_RTE,Multihop_DeltaF,Multihop_Util,Multihop_LJ,Multihop_Itr,Comparison_RTE,Comparison_DeltaF,Comparison_Util,Comparison_LJ,Comparison_Itr,SubproblemAggregation_RTE,SubproblemAggregation_DeltaF,SubproblemAggregation_Util,SubproblemAggregation_LJ,SubproblemAggregation_Itr,Overall_RTE,Overall_DeltaF,Overall_Util,Overall_LJ,Overall_Itr
Qwen2.5-VL-7B,0.208,0.539,0.511,0.380,1.840,0.271,0.468,0.457,0.130,3.293,0.300,0.524,0.459,0.120,2.980,0.283,0.523,0.442,0.157,2.847,0.477,0.645,0.769,0.637,2.537,0.308,0.540,0.527,0.285,2.699
InternVL3.5,0.129,0.638,0.363,0.267,0.977,0.076,0.419,0.244,0.033,1.713,0.030,0.366,0.316,0.007,0.260,0.023,0.406,0.225,0.003,0.250,0.456,0.770,0.588,0.333,2.007,0.143,0.520,0.347,0.129,1.041
Qwen3-VL-4B-Instruct,0.369,0.721,0.492,0.483,2.127,0.434,0.689,0.529,0.230,2.913,0.384,0.615,0.485,0.223,3.050,0.352,0.601,0.464,0.317,3.210,0.480,0.633,0.731,0.690,2.953,0.404,0.652,0.540,0.389,2.851
Qwen3-VL-8B-Instruct,0.249,0.643,0.365,0.390,2.657,0.391,0.704,0.481,0.250,3.070,0.374,0.665,0.458,0.227,3.277,0.314,0.621,0.413,0.290,3.310,0.472,0.636,0.716,0.697,2.903,0.360,0.654,0.486,0.371,3.043
Qwen3-VL-32B-Instruct,0.313,0.614,0.482,0.487,2.287,0.435,0.674,0.543,0.310,2.863,0.304,0.602,0.376,0.213,3.650,0.253,0.553,0.330,0.293,3.800,0.457,0.626,0.708,0.730,2.830,0.353,0.614,0.488,0.407,3.086
Qwen2.5-VL-7B,0.233,0.620,0.464,0.287,1.770,0.288,0.520,0.477,0.133,2.890,0.394,0.712,0.503,0.123,2.013,0.339,0.643,0.474,0.167,2.057,0.497,0.647,0.743,--,2.517,0.350,0.628,0.532,0.178,2.249
GPT-5.1,0.180,0.685,0.293,0.447,1.479,0.288,0.748,0.382,0.417,2.403,0.213,0.719,0.267,0.323,3.207,0.199,0.715,0.271,0.460,2.420,0.330,0.672,0.493,0.893,2.503,0.242,0.708,0.341,0.508,2.402
MMSearch-R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (GPT-5.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIGCR (Qwen3-vl-32b),0.314,0.613,0.485,0.533,2.350,0.434,0.710,0.556,0.360,2.543,0.345,0.739,0.412,0.293,2.837,0.262,0.640,0.342,0.353,3.140,0.451,0.627,0.694,0.770,2.763,0.361,0.666,0.498,0.462,2.727
IIGCR (Qwen2.5-vl-7b),0.287,0.749,0.456,0.470,1.380,0.400,0.722,0.570,0.207,1.980,0.424,0.801,0.521,0.193,2.183,0.383,0.738,0.513,0.267,2.067,0.534,0.705,0.759,0.653,2.323,0.405,0.743,0.564,0.358,1.987
w/o tightening,0.282,0.750,0.448,0.440,1.400,0.366,0.720,0.535,0.207,1.920,0.434,0.792,0.532,0.197,2.240,0.385,0.739,0.515,0.267,2.060,0.542,0.701,0.779,0.690,2.290,0.402,0.740,0.562,0.360,1.982
w/o rebuild_messages,0.260,0.662,0.440,0.457,1.687,0.355,0.567,0.547,0.187,2.640,0.383,0.625,0.506,0.167,2.663,0.332,0.563,0.473,0.210,2.757,0.510,0.657,0.734,0.673,2.560,0.368,0.615,0.540,0.339,2.461
w/o roi,0.294,0.728,0.456,0.427,1.513,0.396,0.717,0.580,0.227,1.900,0.421,0.793,0.522,0.190,2.160,0.374,0.730,0.505,0.250,2.080,0.529,0.698,0.764,0.660,2.317,0.403,0.733,0.565,0.351,1.994
