stage,setting,mean_tqs,mean_iterations,mean_delta_f,mean_utility,mean_step_score,informative_step_rate
mcsearch,Original,0.4773,2.5367,0.5718,0.7057,0.4484,0.8134
mcsearch,Disturb,0.4841,3.0500,0.6263,0.6066,0.4135,0.8251
mcsearch,Oracle,0.5276,2.2500,0.7579,0.7500,0.5418,1.0000
oven,Original,0.1618,1.7087,0.3359,0.3196,0.1503,0.3778
oven,Disturb,0.3392,2.6000,0.4622,0.2582,0.1597,0.5165
oven,Oracle,0.2807,1.2045,0.6322,0.3868,0.3047,0.7358
infoseek,Original,0.1681,3.7557,0.3228,0.2678,0.1207,0.3752
infoseek,Disturb,0.2851,3.7692,0.5103,0.3265,0.2053,0.5918
infoseek,Oracle,0.2800,2.3535,0.5069,0.3133,0.2014,0.5622
crag,Original,0.3123,2.7812,0.4274,0.3963,0.2276,0.5222
crag,Disturb,0.3268,3.0782,0.5089,0.3475,0.2246,0.6134
crag,Oracle,0.3538,2.8904,0.5344,0.3914,0.2575,0.6402
