task_type,setting,rte,iter,delta_f_avg,u_avg,lj_score,significance
Entity Recognition,Original,0.208,1.840,0.374,0.457,0.380,
Entity Recognition,Disturb,0.322,2.657,0.522,0.350,0.293,"iter=**; delta_f=**; u_avg=***"
Entity Recognition,Oracle,0.399,1.405,0.591,0.579,0.392,"rte=***; iter=***; delta_f=**; lj=***"
Single-hop Attribute Query,Original,0.271,3.293,0.350,0.383,0.130,
Single-hop Attribute Query,Disturb,0.381,3.382,0.538,0.451,0.206,"iter=*; delta_f=***; u_avg=***"
Single-hop Attribute Query,Oracle,0.318,2.404,0.509,0.424,0.156,"rte=***; iter=***; delta_f=***; u_avg=***; lj=***"
Multi-hop,Original,0.300,2.980,0.439,0.417,0.120,
Multi-hop,Disturb,0.378,3.192,0.579,0.394,0.170,"iter=***; delta_f=***; u_avg=***"
Multi-hop,Oracle,0.327,3.136,0.564,0.378,0.168,"rte=**; iter=*; delta_f=***; lj=**"
Comparison,Original,0.283,2.847,0.421,0.384,0.157,
Comparison,Disturb,0.315,3.291,0.509,0.355,0.186,"iter=***; delta_f=*; u_avg=***"
Comparison,Oracle,0.297,3.172,0.502,0.365,0.182,"rte=***; delta_f=***; u_avg=**; lj=**"
Subproblem Aggregation,Original,0.477,2.537,0.572,0.747,0.637,
Subproblem Aggregation,Disturb,0.458,3.053,0.635,0.586,0.525,"rte=*; iter=***; delta_f=***; u_avg=***; lj=***"
Subproblem Aggregation,Oracle,0.528,2.250,0.758,0.750,0.750,
Macro-average,Original,0.308,2.699,0.431,0.478,0.285,
Macro-average,Disturb,0.371,3.115,0.556,0.427,0.276,"rte=**; iter=***; delta_f=***; u_avg=***; lj=*"
Macro-average,Oracle,0.374,2.473,0.585,0.499,0.330,"rte=***; iter=***; delta_f=***; u_avg=***; lj=***"
